,season,round,raceName,circuitId,circuitName,lat,long,locality,country,date,sprint,url
650,2000,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,2000-05-07,,http://en.wikipedia.org/wiki/2000_Spanish_Grand_Prix
651,2000,6,European Grand Prix,nurburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,2000-05-21,,http://en.wikipedia.org/wiki/2000_European_Grand_Prix
652,2000,7,Monaco Grand Prix,monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,2000-06-04,,http://en.wikipedia.org/wiki/2000_Monaco_Grand_Prix
653,2000,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,2000-06-18,,http://en.wikipedia.org/wiki/2000_Canadian_Grand_Prix
654,2000,9,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,46.8642,3.16361,Magny Cours,France,2000-07-02,,http://en.wikipedia.org/wiki/2000_French_Grand_Prix
655,2000,10,Austrian Grand Prix,red_bull_ring,Red Bull Ring,47.2197,14.7647,Spielberg,Austria,2000-07-16,,http://en.wikipedia.org/wiki/2000_Austrian_Grand_Prix
656,2000,11,German Grand Prix,hockenheimring,Hockenheimring,49.3278,8.56583,Hockenheim,Germany,2000-07-30,,http://en.wikipedia.org/wiki/2000_German_Grand_Prix
657,2000,12,Hungarian Grand Prix,hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,2000-08-13,,http://en.wikipedia.org/wiki/2000_Hungarian_Grand_Prix
658,2000,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,2000-08-27,,http://en.wikipedia.org/wiki/2000_Belgian_Grand_Prix
659,2000,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,2000-09-10,,http://en.wikipedia.org/wiki/2000_Italian_Grand_Prix
660,2000,15,United States Grand Prix,indianapolis,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,2000-09-24,,http://en.wikipedia.org/wiki/2000_United_States_Grand_Prix
661,2000,16,Japanese Grand Prix,suzuka,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,2000-10-08,,http://en.wikipedia.org/wiki/2000_Japanese_Grand_Prix
662,2000,17,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Kuala Lumpur,Malaysia,2000-10-22,,http://en.wikipedia.org/wiki/2000_Malaysian_Grand_Prix
663,2001,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2001-03-04,,http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix
