,season,round,raceName,circuitId,circuitName,lat,long,locality,country,date,sprint,url
547,1993,16,Australian Grand Prix,adelaide,Adelaide Street Circuit,-34.9272,138.617,Adelaide,Australia,1993-11-07,,http://en.wikipedia.org/wiki/1993_Australian_Grand_Prix
548,1994,1,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,1994-03-27,,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix
549,1994,2,Pacific Grand Prix,okayama,Okayama International Circuit,34.915,134.221,Okayama,Japan,1994-04-17,,http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix
550,1994,3,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,1994-05-01,,http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix
551,1994,4,Monaco Grand Prix,monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,1994-05-15,,http://en.wikipedia.org/wiki/1994_Monaco_Grand_Prix
552,1994,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,1994-05-29,,http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix
553,1994,6,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,1994-06-12,,http://en.wikipedia.org/wiki/1994_Canadian_Grand_Prix
554,1994,7,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,46.8642,3.16361,Magny Cours,France,1994-07-03,,http://en.wikipedia.org/wiki/1994_French_Grand_Prix
555,1994,8,British Grand Prix,silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,1994-07-10,,http://en.wikipedia.org/wiki/1994_British_Grand_Prix
556,1994,9,German Grand Prix,hockenheimring,Hockenheimring,49.3278,8.56583,Hockenheim,Germany,1994-07-31,,http://en.wikipedia.org/wiki/1994_German_Grand_Prix
557,1994,10,Hungarian Grand Prix,hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,1994-08-14,,http://en.wikipedia.org/wiki/1994_Hungarian_Grand_Prix
558,1994,11,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,1994-08-28,,http://en.wikipedia.org/wiki/1994_Belgian_Grand_Prix
